Adjective,Category
creative,Openness to Experience
imaginative,Openness to Experience
curious,Openness to Experience
inventive,Openness to Experience
insightful,Openness to Experience
adventurous,Openness to Experience
open-minded,Openness to Experience
artistic,Openness to Experience
intellectual,Openness to Experience
original,Openness to Experience
progressive,Openness to Experience
innovative,Openness to Experience
unconventional,Openness to Experience
introspective,Openness to Experience
philosophical,Openness to Experience
visionary,Openness to Experience
aesthetic,Openness to Experience
thoughtful,Openness to Experience
perceptive,Openness to Experience
reflective,Openness to Experience
versatile,Openness to Experience
sensitive,Openness to Experience
idealistic,Openness to Experience
nonconformist,Openness to Experience
liberal,Openness to Experience
deep,Openness to Experience
flexible,Openness to Experience
exploratory,Openness to Experience
abstract,Openness to Experience
analytic,Openness to Experience
organized,Conscientiousness
efficient,Conscientiousness
responsible,Conscientiousness
hard-working,Conscientiousness
dependable,Conscientiousness
punctual,Conscientiousness
disciplined,Conscientiousness
dutiful,Conscientiousness
meticulous,Conscientiousness
careful,Conscientiousness
thorough,Conscientiousness
diligent,Conscientiousness
orderly,Conscientiousness
reliable,Conscientiousness
attentive,Conscientiousness
persistent,Conscientiousness
self-controlled,Conscientiousness
systematic,Conscientiousness
methodical,Conscientiousness
deliberate,Conscientiousness
conscientious,Conscientiousness
prudent,Conscientiousness
cautious,Conscientiousness
persevering,Conscientiousness
exact,Conscientiousness
steadfast,Conscientiousness
serious,Conscientiousness
mindful,Conscientiousness
assiduous,Conscientiousness
committed,Conscientiousness
outgoing,Extraversion
sociable,Extraversion
talkative,Extraversion
gregarious,Extraversion
energetic,Extraversion
enthusiastic,Extraversion
assertive,Extraversion
adventurous,Extraversion
bold,Extraversion
active,Extraversion
confident,Extraversion
cheerful,Extraversion
playful,Extraversion
lively,Extraversion
friendly,Extraversion
charismatic,Extraversion
extroverted,Extraversion
expressive,Extraversion
animated,Extraversion
boisterous,Extraversion
charming,Extraversion
flirtatious,Extraversion
fun-loving,Extraversion
high-spirited,Extraversion
vivacious,Extraversion
spirited,Extraversion
exuberant,Extraversion
uninhibited,Extraversion
brash,Extraversion
gregarious,Extraversion
friendly,Agreeableness
kind,Agreeableness
affectionate,Agreeableness
generous,Agreeableness
sympathetic,Agreeableness
compassionate,Agreeableness
cooperative,Agreeableness
trusting,Agreeableness
forgiving,Agreeableness
altruistic,Agreeableness
considerate,Agreeableness
good-natured,Agreeableness
modest,Agreeableness
unselfish,Agreeableness
humble,Agreeableness
patient,Agreeableness
helpful,Agreeableness
cordial,Agreeableness
amiable,Agreeableness
affable,Agreeableness
gracious,Agreeableness
tolerant,Agreeableness
benevolent,Agreeableness
gentle,Agreeableness
courteous,Agreeableness
peaceful,Agreeableness
accommodating,Agreeableness
civil,Agreeableness
meek,Agreeableness
charitable,Agreeableness
anxious,Neuroticism
fearful,Neuroticism
moody,Neuroticism
insecure,Neuroticism
self-conscious,Neuroticism
sensitive,Neuroticism
nervous,Neuroticism
tense,Neuroticism
emotional,Neuroticism
vulnerable,Neuroticism
irritable,Neuroticism
temperamental,Neuroticism
pessimistic,Neuroticism
worrying,Neuroticism
depressed,Neuroticism
guilt-prone,Neuroticism
unstable,Neuroticism
fretful,Neuroticism
high-strung,Neuroticism
stress-prone,Neuroticism
distressed,Neuroticism
apprehensive,Neuroticism
self-doubting,Neuroticism
touchy,Neuroticism
panicky,Neuroticism
melancholic,Neuroticism
hypersensitive,Neuroticism
self-pitying,Neuroticism
brooding,Neuroticism
impulsive,Neuroticism
